Thu Mar 10 07:24:35 2022 | INFO  | loadConfig                               | Config loaded
Thu Mar 10 07:24:35 2022 | INFO  | initializeDisplay                        | well...
Thu Mar 10 07:24:35 2022 | INFO  | initializeDisplay                        | maybe...
Thu Mar 10 07:24:35 2022 | INFO  | initializeDisplay                        | 640x480
Thu Mar 10 07:24:35 2022 | INFO  | initializeDisplay                        | Initialized Display
Thu Mar 10 07:24:35 2022 | INFO  | initializeFonts                          | Fonts initialized
Thu Mar 10 07:24:35 2022 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Thu Mar 10 07:24:35 2022 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Thu Mar 10 07:24:35 2022 | INFO  | checkThemes                              | Themes checked
Thu Mar 10 07:24:35 2022 | INFO  | loadLastState                            | Last state loaded
Thu Mar 10 07:24:35 2022 | INFO  | HW_Init                                  | HW Initialized
Thu Mar 10 07:24:35 2022 | INFO  | initialSetup                             | Setting CPU to base
Thu Mar 10 07:24:35 2022 | INFO  | setCPU                                   | CPU speed set: 1008000
Thu Mar 10 07:24:35 2022 | INFO  | setupKeys                                | Input successfully configured
Thu Mar 10 07:24:36 2022 | INFO  | setupJoystick                            | Joystick successfully configured
Thu Mar 10 07:24:36 2022 | INFO  | checkIfDefault                           | Default state checked
Thu Mar 10 07:24:36 2022 | INFO  | main                                     | Setup 2
Thu Mar 10 07:24:36 2022 | INFO  | initialSetup2                            | Loading theme
Thu Mar 10 07:24:36 2022 | INFO  | initialSetup2                            | Loading section groups
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Entering
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.png
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.png
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.png
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/handhelds.ini
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.ini
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/apps and games.ini
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.ini
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.ini
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/handhelds.png
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/apps and games.png
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Mar 10 07:24:36 2022 | INFO  | recursivelyScanDirectory                 | No entry
Thu Mar 10 07:24:36 2022 | INFO  | loadSectionGroups                        | Loading group background
Thu Mar 10 07:24:36 2022 | INFO  | loadSectionGroups                        | Loading group background
Thu Mar 10 07:24:36 2022 | INFO  | loadSectionGroups                        | Loading group background
Thu Mar 10 07:24:36 2022 | INFO  | loadSectionGroups                        | Loading group background
Thu Mar 10 07:24:36 2022 | INFO  | loadSectionGroups                        | Loading group background
Thu Mar 10 07:24:36 2022 | INFO  | loadSectionGroups                        | Loaded section groups
Thu Mar 10 07:24:36 2022 | INFO  | initialSetup2                            | Loading sections
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | PSP
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Loading system logo
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Loading system background
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Loading system picture
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | NINTENDO DS
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | GAME BOY
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | GAME BOY COLOR
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | GAME BOY ADVANCE
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | GAME & WATCH
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:36 2022 | INFO  | loadSections                             | GAME GEAR
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | ATARI LYNX
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | NEO GEO POCKET
