Thu Jul  6 14:46:14 2023 | INFO  | loadConfig                               | Config loaded
Thu Jul  6 14:46:14 2023 | INFO  | initializeDisplay                        | well...
Thu Jul  6 14:46:14 2023 | INFO  | initializeDisplay                        | maybe...
Thu Jul  6 14:46:14 2023 | INFO  | initializeDisplay                        | 640x480
Thu Jul  6 14:46:17 2023 | INFO  | initializeDisplay                        | Initialized Display
Thu Jul  6 14:46:17 2023 | INFO  | initializeFonts                          | Fonts initialized
Thu Jul  6 14:46:17 2023 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Thu Jul  6 14:46:17 2023 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Thu Jul  6 14:46:17 2023 | INFO  | checkThemes                              | Themes checked
Thu Jul  6 14:46:17 2023 | INFO  | loadLastState                            | Last state loaded
Thu Jul  6 14:46:17 2023 | INFO  | HW_Init                                  | HW Initialized
Thu Jul  6 14:46:17 2023 | INFO  | initialSetup                             | Setting CPU to base
Thu Jul  6 14:46:17 2023 | ERROR | setCPU                                   | Error writting to file
Thu Jul  6 14:46:17 2023 | INFO  | setCPU                                   | CPU speed set: 1008000
Thu Jul  6 14:46:17 2023 | INFO  | setupKeys                                | Input successfully configured
Thu Jul  6 14:46:17 2023 | INFO  | setupJoystick                            | Joystick successfully configured
Thu Jul  6 14:46:17 2023 | INFO  | checkIfDefault                           | Default state checked
Thu Jul  6 14:46:17 2023 | INFO  | main                                     | Setup 2
Thu Jul  6 14:46:17 2023 | INFO  | initialSetup2                            | Loading theme
Thu Jul  6 14:46:17 2023 | INFO  | initialSetup2                            | Loading section groups
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Entering
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/consoles.png
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/home computers.png
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/arcades.png
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/handhelds.ini
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/home computers.ini
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/apps and games.ini
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/arcades.ini
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/consoles.ini
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/handhelds.png
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system//.simplemenu/section_groups/apps and games.png
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Thu Jul  6 14:46:17 2023 | INFO  | recursivelyScanDirectory                 | No entry
Thu Jul  6 14:46:17 2023 | INFO  | loadSectionGroups                        | Loading group background
Thu Jul  6 14:46:17 2023 | INFO  | loadSectionGroups                        | Loading group background
Thu Jul  6 14:46:17 2023 | INFO  | loadSectionGroups                        | Loading group background
Thu Jul  6 14:46:17 2023 | INFO  | loadSectionGroups                        | Loading group background
Thu Jul  6 14:46:17 2023 | INFO  | loadSectionGroups                        | Loading group background
Thu Jul  6 14:46:17 2023 | INFO  | loadSectionGroups                        | Loaded section groups
Thu Jul  6 14:46:17 2023 | INFO  | initialSetup2                            | Loading sections
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | NINTENDO 64
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | DREAMCAST
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | ODYSSEY2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Loading system logo
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Loading system background
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Loading system picture
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | NES
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | FDS
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | SNES
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | MSU-1
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | SGB
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | VIRTUAL BOY
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | SEGA SG-1000
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird 2
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Executable set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Set
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Out
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | MASTER SYSTEM
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | Current exec ready
Thu Jul  6 14:46:17 2023 | INFO  | loadSections                             | free as a bird
