Fri Jul  7 00:53:57 2023 | INFO  | loadConfig                               | Config loaded
Fri Jul  7 00:53:57 2023 | INFO  | initializeDisplay                        | well...
Fri Jul  7 00:53:57 2023 | INFO  | initializeDisplay                        | maybe...
Fri Jul  7 00:53:58 2023 | INFO  | initializeDisplay                        | 640x480
Fri Jul  7 00:53:58 2023 | INFO  | initializeDisplay                        | Initialized Display
Fri Jul  7 00:53:58 2023 | INFO  | initializeFonts                          | Fonts initialized
Fri Jul  7 00:53:58 2023 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Fri Jul  7 00:53:58 2023 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Fri Jul  7 00:53:58 2023 | INFO  | checkThemes                              | Themes checked
Fri Jul  7 00:53:58 2023 | INFO  | loadLastState                            | Last state loaded
Fri Jul  7 00:53:58 2023 | INFO  | HW_Init                                  | HW Initialized
Fri Jul  7 00:53:58 2023 | INFO  | initialSetup                             | Setting CPU to base
Fri Jul  7 00:53:58 2023 | ERROR | setCPU                                   | Error writting to file
Fri Jul  7 00:53:58 2023 | INFO  | setCPU                                   | CPU speed set: 1008000
Fri Jul  7 00:53:58 2023 | INFO  | setupKeys                                | Input successfully configured
Fri Jul  7 00:53:58 2023 | INFO  | setupJoystick                            | Joystick successfully configured
Fri Jul  7 00:53:58 2023 | INFO  | checkIfDefault                           | Default state checked
Fri Jul  7 00:53:58 2023 | INFO  | main                                     | Setup 2
Fri Jul  7 00:53:58 2023 | INFO  | initialSetup2                            | Loading theme
Fri Jul  7 00:53:58 2023 | INFO  | initialSetup2                            | Loading section groups
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Entering
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.png
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.png
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.png
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/handhelds.ini
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.ini
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/apps and games.ini
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.ini
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.ini
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/handhelds.png
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/apps and games.png
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Fri Jul  7 00:53:58 2023 | INFO  | recursivelyScanDirectory                 | No entry
Fri Jul  7 00:53:58 2023 | INFO  | loadSectionGroups                        | Loading group background
Fri Jul  7 00:53:58 2023 | INFO  | loadSectionGroups                        | Loading group background
Fri Jul  7 00:53:58 2023 | INFO  | loadSectionGroups                        | Loading group background
Fri Jul  7 00:53:58 2023 | INFO  | loadSectionGroups                        | Loading group background
Fri Jul  7 00:53:58 2023 | INFO  | loadSectionGroups                        | Loading group background
Fri Jul  7 00:53:58 2023 | INFO  | loadSectionGroups                        | Loaded section groups
Fri Jul  7 00:53:58 2023 | INFO  | initialSetup2                            | Loading sections
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | MAME
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | CPS1
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird
