Sun Jul  9 00:15:19 2023 | INFO  | loadConfig                               | Config loaded
Sun Jul  9 00:15:19 2023 | INFO  | initializeDisplay                        | well...
Sun Jul  9 00:15:19 2023 | INFO  | initializeDisplay                        | maybe...
Sun Jul  9 00:15:19 2023 | INFO  | initializeDisplay                        | 640x480
Sun Jul  9 00:15:19 2023 | INFO  | initializeDisplay                        | Initialized Display
Sun Jul  9 00:15:19 2023 | INFO  | initializeFonts                          | Fonts initialized
Sun Jul  9 00:15:19 2023 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Sun Jul  9 00:15:19 2023 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Sun Jul  9 00:15:19 2023 | INFO  | checkThemes                              | Themes checked
Sun Jul  9 00:15:19 2023 | INFO  | loadLastState                            | Last state loaded
Sun Jul  9 00:15:19 2023 | INFO  | HW_Init                                  | HW Initialized
Sun Jul  9 00:15:19 2023 | INFO  | initialSetup                             | Setting CPU to base
Sun Jul  9 00:15:19 2023 | INFO  | setCPU                                   | CPU speed set: 1008000
Sun Jul  9 00:15:19 2023 | INFO  | setupKeys                                | Input successfully configured
Sun Jul  9 00:15:19 2023 | INFO  | setupJoystick                            | Joystick successfully configured
Sun Jul  9 00:15:19 2023 | INFO  | checkIfDefault                           | Default state checked
Sun Jul  9 00:15:19 2023 | INFO  | main                                     | Setup 2
Sun Jul  9 00:15:19 2023 | INFO  | initialSetup2                            | Loading theme
Sun Jul  9 00:15:19 2023 | INFO  | initialSetup2                            | Loading section groups
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Entering
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.png
