Tue Jul 11 01:19:59 2023 | INFO  | loadConfig                               | Config loaded
Tue Jul 11 01:19:59 2023 | INFO  | initializeDisplay                        | well...
Tue Jul 11 01:19:59 2023 | INFO  | initializeDisplay                        | maybe...
Tue Jul 11 01:19:59 2023 | INFO  | initializeDisplay                        | 640x480
Tue Jul 11 01:19:59 2023 | INFO  | initializeDisplay                        | Initialized Display
Tue Jul 11 01:19:59 2023 | INFO  | initializeFonts                          | Fonts initialized
Tue Jul 11 01:19:59 2023 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Tue Jul 11 01:19:59 2023 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Tue Jul 11 01:19:59 2023 | INFO  | checkThemes                              | Themes checked
Tue Jul 11 01:19:59 2023 | INFO  | loadLastState                            | Last state loaded
Tue Jul 11 01:19:59 2023 | INFO  | HW_Init                                  | HW Initialized
Tue Jul 11 01:19:59 2023 | INFO  | initialSetup                             | Setting CPU to base
Tue Jul 11 01:19:59 2023 | INFO  | setCPU                                   | CPU speed set: 1008000
Tue Jul 11 01:19:59 2023 | INFO  | setupKeys                                | Input successfully configured
Tue Jul 11 01:19:59 2023 | INFO  | setupJoystick                            | Joystick successfully configured
Tue Jul 11 01:19:59 2023 | INFO  | checkIfDefault                           | Default state checked
Tue Jul 11 01:19:59 2023 | INFO  | main                                     | Setup 2
Tue Jul 11 01:19:59 2023 | INFO  | initialSetup2                            | Loading theme
Tue Jul 11 01:19:59 2023 | INFO  | initialSetup2                            | Loading section groups
Tue Jul 11 01:19:59 2023 | INFO  | recursivelyScanDirectory                 | Entering
Tue Jul 11 01:19:59 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/
Tue Jul 11 01:19:59 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Tue Jul 11 01:19:59 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Tue Jul 11 01:19:59 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.png
Tue Jul 11 01:19:59 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Tue Jul 11 01:19:59 2023 | INFO  | recursivelyScanDirectory                 | It's a file
