Wed Jul 12 02:11:47 2023 | INFO  | loadConfig                               | Config loaded
Wed Jul 12 02:11:47 2023 | INFO  | initializeDisplay                        | well...
Wed Jul 12 02:11:47 2023 | INFO  | initializeDisplay                        | maybe...
Wed Jul 12 02:11:47 2023 | INFO  | initializeDisplay                        | 640x480
Wed Jul 12 02:11:47 2023 | INFO  | initializeDisplay                        | Initialized Display
Wed Jul 12 02:11:47 2023 | INFO  | initializeFonts                          | Fonts initialized
Wed Jul 12 02:11:47 2023 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Wed Jul 12 02:11:47 2023 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Wed Jul 12 02:11:47 2023 | INFO  | checkThemes                              | Themes checked
Wed Jul 12 02:11:47 2023 | INFO  | loadLastState                            | Last state loaded
Wed Jul 12 02:11:47 2023 | INFO  | HW_Init                                  | HW Initialized
Wed Jul 12 02:11:47 2023 | INFO  | initialSetup                             | Setting CPU to base
Wed Jul 12 02:11:47 2023 | INFO  | setCPU                                   | CPU speed set: 1008000
Wed Jul 12 02:11:47 2023 | INFO  | setupKeys                                | Input successfully configured
Wed Jul 12 02:11:47 2023 | INFO  | setupJoystick                            | Joystick successfully configured
Wed Jul 12 02:11:47 2023 | INFO  | checkIfDefault                           | Default state checked
Wed Jul 12 02:11:47 2023 | INFO  | main                                     | Setup 2
Wed Jul 12 02:11:47 2023 | INFO  | initialSetup2                            | Loading theme
Wed Jul 12 02:11:47 2023 | INFO  | initialSetup2                            | Loading section groups
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | Entering
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.png
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.png
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.png
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Wed Jul 12 02:11:47 2023 | INFO  | recursivelyScanDirectory                 | It's a file
