Mon Jul 17 17:13:06 2023 | INFO  | loadConfig                               | Config loaded
Mon Jul 17 17:13:06 2023 | INFO  | initializeDisplay                        | well...
Mon Jul 17 17:13:06 2023 | INFO  | initializeDisplay                        | maybe...
Mon Jul 17 17:13:07 2023 | INFO  | initializeDisplay                        | 640x480
Mon Jul 17 17:13:07 2023 | INFO  | initializeDisplay                        | Initialized Display
Mon Jul 17 17:13:07 2023 | INFO  | initializeFonts                          | Fonts initialized
Mon Jul 17 17:13:07 2023 | INFO  | initializeSettingsFonts                  | Initializing Settings Fonts
Mon Jul 17 17:13:07 2023 | INFO  | initializeSettingsFonts                  | Settings Fonts initialized
Mon Jul 17 17:13:07 2023 | INFO  | checkThemes                              | Themes checked
Mon Jul 17 17:13:07 2023 | INFO  | loadLastState                            | Last state loaded
Mon Jul 17 17:13:07 2023 | INFO  | HW_Init                                  | HW Initialized
Mon Jul 17 17:13:07 2023 | INFO  | initialSetup                             | Setting CPU to base
Mon Jul 17 17:13:07 2023 | INFO  | setCPU                                   | CPU speed set: 1008000
Mon Jul 17 17:13:07 2023 | INFO  | setupKeys                                | Input successfully configured
Mon Jul 17 17:13:07 2023 | INFO  | setupJoystick                            | Joystick successfully configured
Mon Jul 17 17:13:07 2023 | INFO  | checkIfDefault                           | Default state checked
Mon Jul 17 17:13:07 2023 | INFO  | main                                     | Setup 2
Mon Jul 17 17:13:07 2023 | INFO  | initialSetup2                            | Loading theme
Mon Jul 17 17:13:07 2023 | INFO  | initialSetup2                            | Loading section groups
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Entering
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.png
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.png
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.png
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/handhelds.ini
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.ini
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/apps and games.ini
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Mon Jul 17 17:13:07 2023 | INFO  | recursivelyScanDirectory                 | It's a file
